B,20210504,075500,        90,5912799,E
S,20210504,134730,        20,         8, 836889603,TCS/VERI006/020,Verisure International,UK
S,20210504,134750,        10,         9, 840680232,WCR/MSMS089/010,Money Supermarket Car GME,UK
B,20210504,135500,        60,5912809,E
S,20210504,135500,        30,         1, 840864176,BRO/WBAC048/030,Webuyanycar.com 2,UK
S,20210504,135530,        20,         2, 840625937,GRF/PBCH001/020,Parsley Box,UK
S,20210504,135550,        10,         3, 840664057,WLI/WWPZ029/010,Weight Watchers DRTV,UK
B,20210504,140300,        60,5912810,E
S,20210504,140300,        20,         1, 840865122,WCR/MSMS090/020,Money Supermarket Energy GME,UK
S,20210504,140320,        10,         2, 836716326,VCC/SICO002/010,Simply Cook Shared Reward,UK
S,20210504,140330,        30,         3, 836716327,KOA/BLNK100/030,Butchers Blink Cat Food Shared Rewa,UK
B,20210504,141845,       180,5912811,C
S,20210504,141845,        90,         1, 836912054,DTV/BDTM003/090,Battersea Regular Giving,UK
S,20210504,142015,        10,         2, 840864868,MCE/JEAT140/010,Just Eat BAU,UK
S,20210504,142025,        20,         3, 836889664,TCS/VERI006/020,Verisure International,UK
S,20210504,142045,        10,         4, 840738935,PCH/SALE002/010,Lebara SR (BAR),UK
S,20210504,142055,        30,         5, 840747792,FTB/FMPM004/030,FindMyPast SR,UK
S,20210504,142125,        20,         6, 840749231,HOG/NOGF858/020,Birds Eye Goodfellas,UK
B,20210504,143230,       180,5912812,C
S,20210504,143230,        30,         1, 837121604,HHP/SLAP001/030,Sunlife GOF,UK
S,20210504,143300,        20,         2, 840864295,MIF/NENS275/020,Nestle Gold Blend Roastery,UK
S,20210504,143320,        10,         3, 840665984,ABF/MTHS002/010,My Tutor,UK
S,20210504,143330,        30,         4, 840739161,VEL/OTMA001/030,Oaktree Mobility,UK
S,20210504,143400,        10,         5, 840739011,PCH/SALE002/010,Lebara SR (BAR),UK
S,20210504,143410,        30,         6, 840747793,FTB/FMPP001/030,FindMyPast SR,UK
S,20210504,143440,        20,         7, 840625549,HOG/NOGF858/020,Birds Eye Goodfellas,UK
S,20210504,143500,        30,         8, 836687177,MKN/PEBI030/030,Peloton Direct SR,UK
B,20210504,144615,       180,5912813,C
S,20210504,144615,        20,         1, 840864987,MIF/NENS275/020,Nestle Gold Blend Roastery,UK
S,20210504,144635,        10,         2, 836688594,VCC/SICO002/010,Simply Cook Shared Reward,UK
S,20210504,144645,        30,         3, 840747794,FTB/FMPP002/030,FindMyPast SR,UK
S,20210504,144715,        30,         4, 837498812,VEL/OTMA001/030,Oaktree Mobility,UK
S,20210504,144745,        10,         5, 837460925,CHF/STUD890/010,Express Gifts,UK
S,20210504,144755,        10,         6, 840739012,PCH/SALE002/010,Lebara SR (BAR),UK
S,20210504,144805,        10,         7, 840754105,ABF/MTHS002/010,My Tutor,UK
S,20210504,144815,        30,         8, 836688595,KOA/BLNK100/030,Butchers Blink Cat Food Shared Rewa,UK
S,20210504,144845,        20,         9, 840625604,HOG/NOGF858/020,Birds Eye Goodfellas,UK
S,20210504,144905,        10,        10, 840698602,KAR/CONF131/010,Confused Rewards,UK
B,20210504,145500,        90,5912814,E
S,20210504,145500,        20,         1, 840865154,MCE/RBDT027/020,Dettol Personal Care,UK
S,20210504,145520,        30,         2, 837497321,WPP/GLDI110/030,Glasses Direct,UK
S,20210504,145550,        10,         3, 840739013,PCH/SALE002/010,Lebara SR (BAR),UK
S,20210504,145600,        10,         4, 837459971,ABF/MTHS002/010,My Tutor,UK
S,20210504,145610,        20,         5, 836889837,TCS/VERI006/020,Verisure International,UK
B,20210504,150300,        90,5912815,E
