HS2021050502032021050620220104AI
D202105070759572271   Murdoch Mysteries (12)                                                                              Murdoch Mysteries                                                                                   572278   07, Brother's Keeper                                                                                Brother's Keeper                                                                                    327083   05925  500028351Crime Drama                                                                                         004211159992201Murdoch Mysteries                                                                                   
D202105070859573851   Father Brown (05)                                                                                   Father Brown                                                                                        573916   Ep 04                                                                                               The Chedworth Cyclone                                                                               329855   06115  500028351Crime Drama                                                                                         004401163495179Father Brown                                                                                        
D202105071000572223   Frankie Drake Mysteries (02)                                                                        Frankie Drake Mysteries                                                                             572233   Ep 10                                                                                               Now You See Her                                                                                     563161   05924  500028351Crime Drama                                                                                         004150163495121Frankie Drake Mysteries                                                                             
D202105071059581511   Ms Fisher's MODern Murder Mysteries (01)                                                            Ms Fisher's Modern Murder Mysteries                                                                 581517   Ep 06                                                                                               Space for Murder Part 2                                                                             581510   05939  500028351Crime Drama                                                                                         004225163495274Ms Fisher's Modern Murder Mysteries                                                                 
D202105071159260602   New Tricks (09) (HD)                                                                                New Tricks                                                                                          129225   04. The Girl Who Lived                                                                              The Girl Who Lived                                                                                  327084   06038  500028351Crime Drama                                                                                         004524163495358New Tricks                                                                                          
D202105071300573851   Father Brown (05)                                                                                   Father Brown                                                                                        573916   Ep 04                                                                                               The Chedworth Cyclone                                                                               329855   05925  500028351Crime Drama                                                                                         004401163495378Father Brown                                                                                        
D202105071359252148   Murdoch Mysteries (03) (HD)                                                                         Murdoch Mysteries                                                                                   109714   13. The Tesla Effect                                                                                The Tesla Effect                                                                                    327083   06136  500028351Crime Drama                                                                                         004600163495499Murdoch Mysteries                                                                                   
D202105071501254271   Murdoch Mysteries (04) (HD)                                                                         Murdoch Mysteries                                                                                   113638   01, Tattered & Torn                                                                                 Tattered and Torn                                                                                   327083   05952  500028351Crime Drama                                                                                         004600163495501Murdoch Mysteries                                                                                   
D202105071600254271   Murdoch Mysteries (04) (HD)                                                                         Murdoch Mysteries                                                                                   113639   02, Kommando                                                                                        Kommando                                                                                            327083   06119  500028351Crime Drama                                                                                         004600163495502Murdoch Mysteries                                                                                   
D202105071702581511   Ms Fisher's MODern Murder Mysteries (01)                                                            Ms Fisher's Modern Murder Mysteries                                                                 581517   Ep 06                                                                                               Space for Murder Part 2                                                                             581510   05959  500028351Crime Drama                                                                                         004225163495503Ms Fisher's Modern Murder Mysteries                                                                 
D202105071802590351   Major Crimes (04)                                                                                   Major Crimes                                                                                        590387   Ep 18                                                                                               Penalty Phase                                                                                       589366   05850  500028351Crime Drama                                                                                         004006163495518Major Crimes                                                                                        
D202105071901590351   Major Crimes (04)                                                                                   Major Crimes                                                                                        590388   Ep 19                                                                                               Hindsight - Part One                                                                                589366   05940  500028351Crime Drama                                                                                         004126163495519Major Crimes                                                                                        
D202105072000573990   Death In Paradise (06)                                                                              Death in Paradise                                                                                   573994   Ep 04                                                                                               Stumped in Murder                                                                                   329463   05943  500028351Crime Drama                                                                                         004409168582053Death in Paradise                                                                                   
D202105072100590553   Major Crimes (06)                                                                                   Major Crimes                                                                                        590565   Ep 12, By Any Means: Part 3                                                                         By Any Means: Part 3                                                                                589366   05857  500028351Crime Drama                                                                                         104053158520001Major Crimes                                                                                        
D202105072159586474   Murdoch Mysteries (13)                                                                              Murdoch Mysteries                                                                                   586485   11, Staring Blindly into the Future                                                                 Staring Blindly into the Future                                                                     327083   06028  500028351Crime Drama                                                                                         004224166399867Murdoch Mysteries                                                                                   
D202105072259260602   New Tricks (09) (HD)                                                                                New Tricks                                                                                          129225   04. The Girl Who Lived                                                                              The Girl Who Lived                                                                                  327084   06048  500028351Crime Drama                                                                                         004524163496719New Tricks                                                                                          
D202105072400588694   We Hunt Together (01)                                                                               We Hunt Together                                                                                    588695   Ep 01                                                                                               We Hunt Together                                                                                    588693   06045  500028351Crime Drama                                                                                         004521166400756We Hunt Together                                                                                    
D202105072501582395   Motive (04)                                                                                         Motive                                                                                              582405   Episode 10                                                                                          In Plain Sight                                                                                      582268   05935  500028351Crime Drama                                                                                         004207166484123Motive                                                                                              
D202105072601582395   Motive (04)                                                                                         Motive                                                                                              582406   Episode 11                                                                                          Natural Selection                                                                                   582268   04652  500028351Crime Drama                                                                                         004206166484124Motive                                                                                              
D202105072700592572   Carter (02)                                                                                         Carter                                                                                              592575   Ep 03                                                                                               Harley Gets Replaced                                                                                568437   04559  500028351Crime Drama                                                                                         004203166485270Carter                                                                                              
D202105072746585332   Zoom In (1)                                                                                         Zoom In                                                                                             585376   44, Mary Queen of Scots                                                                             Zoom In                                                                                             585331   00645  500023213Filler                                                                                              000615167171165Zoom In                                                                                             
D202105072753585332   Zoom In (1)                                                                                         Zoom In                                                                                             585335   03, Harry Potter and the Deathly Hallows                                                            Zoom In                                                                                             585331   00658  500023213Filler                                                                                              000614167171238Zoom In                                                                                             
D202105080712262082   Murdoch Mysteries (07) (HD)                                                                         Murdoch Mysteries                                                                                   132561   10, Murdoch in Ragtime                                                                              Murdoch in Ragtime                                                                                  327083   04750  500028351Crime Drama                                                                                         004500166400837Murdoch Mysteries                                                                                   
D202105080800262082   Murdoch Mysteries (07) (HD)                                                                         Murdoch Mysteries                                                                                   132562   11, Journey to the Centre of Toronto                                                                Journey to the Centre of Toronto                                                                    327083   05908  500028351Crime Drama                                                                                         004500166400858Murdoch Mysteries                                                                                   
